GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProjectGorillaz,com.javarush.stepanov.config,LiqubaseInit,11,68,0,0,3,16,0,3,0,3
ProjectGorillaz,com.javarush.stepanov.config,NanoSpring,21,369,4,28,5,87,4,31,0,19
ProjectGorillaz,com.javarush.stepanov.config,ApplicationProperties,50,69,9,1,13,22,5,5,0,5
ProjectGorillaz,com.javarush.stepanov.config,SessionCreator,17,146,2,8,6,36,3,9,1,6
ProjectGorillaz,com.javarush.stepanov.config,Config,0,4,0,0,0,2,0,1,0,1
ProjectGorillaz,com.javarush.stepanov.config,NanoSpring.Interceptor,3,15,0,0,1,4,1,1,1,1
ProjectGorillaz,com.javarush.stepanov.service,StatisticService,34,0,0,0,9,0,2,0,2,0
ProjectGorillaz,com.javarush.stepanov.service,RouletteService,37,151,7,5,10,36,6,10,2,8
ProjectGorillaz,com.javarush.stepanov.service,GameService,0,14,0,2,0,6,0,3,0,2
ProjectGorillaz,com.javarush.stepanov.service,QuestService,17,514,10,32,2,91,10,30,0,19
ProjectGorillaz,com.javarush.stepanov.service,QuizService,31,370,5,19,7,84,4,22,1,13
ProjectGorillaz,com.javarush.stepanov.service,UserService,75,117,3,17,22,28,7,14,4,7
ProjectGorillaz,com.javarush.stepanov.util,ReqHelp,5,21,2,2,1,6,2,3,0,3
ProjectGorillaz,com.javarush.stepanov.util,UrlHelper,0,4,0,0,0,1,0,1,0,1
ProjectGorillaz,com.javarush.stepanov.controller,HttpResolver,89,0,8,0,20,0,7,0,3,0
ProjectGorillaz,com.javarush.stepanov.controller,FrontController,55,0,0,0,17,0,6,0,6,0
ProjectGorillaz,com.javarush.stepanov.mapping,Dto,4,14,1,1,0,3,1,2,0,2
ProjectGorillaz,com.javarush.stepanov.mapping,DtoImpl,16,104,8,8,8,30,8,5,0,5
ProjectGorillaz,com.javarush.stepanov.entity,MapToJsonConverter,14,23,0,0,4,4,0,3,0,3
ProjectGorillaz,com.javarush.stepanov.entity,User,164,5,15,1,39,1,16,1,8,1
ProjectGorillaz,com.javarush.stepanov.entity,MapToJsonConverter.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
ProjectGorillaz,com.javarush.stepanov.entity,QuestMap,4,0,0,0,2,0,2,0,2,0
ProjectGorillaz,com.javarush.stepanov.entity,QuestInfoEntity,0,18,0,0,0,3,0,3,0,3
ProjectGorillaz,com.javarush.stepanov.entity,RouletteMap,4,0,0,0,2,0,2,0,2,0
ProjectGorillaz,com.javarush.stepanov.filter,ErrorCleanerFilter,22,0,4,0,6,0,4,0,2,0
ProjectGorillaz,com.javarush.stepanov.constants,ConstantsCommon,0,26,0,0,0,9,0,1,0,1
ProjectGorillaz,com.javarush.stepanov.dto,UserTo,6,72,3,9,0,18,3,6,0,3
ProjectGorillaz,com.javarush.stepanov.exception,AppException,17,0,0,0,7,0,4,0,4,0
ProjectGorillaz,com.javarush.stepanov.repository,UserRepository,0,5,0,0,0,2,0,1,0,1
ProjectGorillaz,com.javarush.stepanov.repository,BaseRepository,130,68,19,1,27,15,12,5,2,5
ProjectGorillaz,com.javarush.stepanov.repository,QuestMapRepository,0,5,0,0,0,2,0,1,0,1
ProjectGorillaz,com.javarush.stepanov.repository,QuestInfoEntityRepository,0,5,0,0,0,2,0,1,0,1
ProjectGorillaz,com.javarush.stepanov.repository,RouletteMapRepository,0,5,0,0,0,2,0,1,0,1
ProjectGorillaz,com.javarush.stepanov.repository,GameRepository,5,0,0,0,2,0,1,0,1,0
ProjectGorillaz,com.javarush.stepanov.cmd,LoginRegistration,0,45,0,4,0,12,0,4,0,2
ProjectGorillaz,com.javarush.stepanov.cmd,StartPage,29,0,0,0,9,0,3,0,3,0
ProjectGorillaz,com.javarush.stepanov.cmd,GameQuiz,0,43,0,0,0,11,0,2,0,2
ProjectGorillaz,com.javarush.stepanov.cmd,Statistic,34,0,0,0,9,0,2,0,2,0
ProjectGorillaz,com.javarush.stepanov.cmd,GameRoulette,0,43,0,0,0,11,0,2,0,2
ProjectGorillaz,com.javarush.stepanov.cmd,GameQuest,0,43,0,0,0,11,0,2,0,2
ProjectGorillaz,com.javarush.stepanov.cmd,LoginEntrance,4,41,1,3,1,11,1,3,0,2
ProjectGorillaz,com.javarush.stepanov.cmd,Command,7,80,1,5,3,18,3,7,2,5
